User ID,Umur,Jenis Kelamin,Lokasi Jemputan,Lokasi Tujuan,Jenis Transportasi Umum,Jumlah Harga
U-0013,58,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 14.000
U-0014,20,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 8.000
U-0015,35,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Bus,Rp. 18.000
U-0016,25,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 5.000
U-0017,64,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 12.000
U-0018,48,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Bus,Rp. 18.000
U-0019,50,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 10.000
U-0020,46,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Angkot,Rp. 8.000
U-0021,30,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0022,45,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",MRT,Rp. 10.000
U-0023,61,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 14.000
U-0024,57,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0025,37,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 18.000
U-0026,28,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 5.000
U-0027,64,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 18.000
U-0028,26,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 14.000
U-0029,38,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0030,53,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Transjakarta,Rp. 10.000
U-0031,52,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Angkot,Rp. 8.000
U-0032,29,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 12.000
U-0033,46,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 10.000
U-0034,65,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Bus,Rp. 14.000
U-0035,32,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 18.000
U-0036,48,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 12.000
U-0037,51,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Bus,Rp. 5.000
U-0038,54,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0039,52,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Transjakarta,Rp. 5.000
U-0040,27,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 18.000
U-0041,26,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 18.000
U-0042,54,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 18.000
U-0043,36,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 12.000
U-0044,46,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 18.000
U-0045,43,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 12.000
U-0046,63,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 12.000
U-0047,51,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",MRT,Rp. 8.000
U-0048,37,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 10.000
U-0049,32,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 10.000
U-0050,61,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Bus,Rp. 14.000
U-0051,24,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Bus,Rp. 14.000
U-0052,49,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 8.000
U-0053,58,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",KRL,Rp. 10.000
U-0054,53,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",MRT,Rp. 14.000
U-0055,30,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 10.000
U-0056,30,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 10.000
U-0057,25,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 12.000
U-0058,36,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 5.000
U-0059,59,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Bus,Rp. 14.000
U-0060,28,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 14.000
U-0061,60,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 5.000
U-0062,64,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 14.000
U-0063,50,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 18.000
U-0064,54,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Angkot,Rp. 8.000
U-0065,23,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Angkot,Rp. 12.000
U-0066,22,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 10.000
U-0067,45,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 8.000
U-0068,22,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 10.000
U-0069,61,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 18.000
U-0070,26,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Bus,Rp. 10.000
U-0071,51,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",MRT,Rp. 14.000
U-0072,20,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 12.000
U-0073,27,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 5.000
U-0074,27,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 10.000
U-0075,57,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Angkot,Rp. 14.000
U-0076,41,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 8.000
U-0077,22,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 8.000
U-0078,38,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Transjakarta,Rp. 10.000
U-0079,60,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 5.000
U-0080,63,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 18.000
U-0081,65,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 14.000
U-0082,63,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Angkot,Rp. 12.000
U-0083,41,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Bus,Rp. 18.000
U-0084,49,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 12.000
U-0085,59,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 10.000
U-0086,59,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 14.000
U-0087,25,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",MRT,Rp. 14.000
U-0088,47,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",MRT,Rp. 14.000
U-0089,65,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Angkot,Rp. 14.000
U-0090,30,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Angkot,Rp. 14.000
U-0091,40,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",MRT,Rp. 10.000
U-0092,57,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 18.000
U-0093,27,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",MRT,Rp. 18.000
U-0094,57,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Bus,Rp. 18.000
U-0095,53,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 12.000
U-0096,47,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 14.000
U-0097,60,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 12.000
U-0098,44,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 18.000
U-0099,65,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 8.000
U-0100,31,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",MRT,Rp. 10.000
U-0101,37,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 8.000
U-0102,36,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 5.000
U-0103,34,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 5.000
U-0104,44,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Bus,Rp. 5.000
U-0105,46,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 12.000
U-0106,63,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0107,27,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Bus,Rp. 5.000
U-0108,48,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 14.000
U-0109,41,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 18.000
U-0110,56,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",KRL,Rp. 10.000
U-0111,54,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 8.000
U-0112,21,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 14.000
U-0113,22,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 10.000
U-0114,49,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",Angkot,Rp. 14.000
U-0115,29,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Bus,Rp. 18.000
U-0116,28,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 14.000
U-0117,19,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Bus,Rp. 5.000
U-0118,52,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 12.000
U-0119,48,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 8.000
U-0120,60,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",MRT,Rp. 8.000
U-0121,58,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 8.000
U-0122,54,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Bus,Rp. 5.000
U-0123,21,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",MRT,Rp. 10.000
U-0124,18,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 5.000
U-0125,61,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",MRT,Rp. 10.000
U-0126,65,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",MRT,Rp. 5.000
U-0127,24,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 12.000
U-0128,38,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",MRT,Rp. 10.000
U-0129,47,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Angkot,Rp. 14.000
U-0130,32,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Transjakarta,Rp. 5.000
U-0131,58,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 8.000
U-0132,19,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Angkot,Rp. 5.000
U-0133,30,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Angkot,Rp. 18.000
U-0134,51,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 5.000
U-0135,60,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",MRT,Rp. 12.000
U-0136,40,Perempuan,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0137,18,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Transjakarta,Rp. 18.000
U-0138,65,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 12.000
U-0139,57,Laki-laki,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 10.000
U-0140,43,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Angkot,Rp. 14.000
U-0141,22,Perempuan,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",MRT,Rp. 8.000
U-0142,36,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Angkot,Rp. 10.000
U-0143,36,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",MRT,Rp. 8.000
U-0144,59,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Bus,Rp. 12.000
U-0145,47,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",KRL,Rp. 5.000
U-0146,57,Perempuan,"Jl. Sudirman, Karet Semanggi, Setiabudi","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 12.000
U-0147,20,Laki-laki,"Jl. Pangeran Diponegoro, Menteng, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",Transjakarta,Rp. 14.000
U-0148,26,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",KRL,Rp. 5.000
U-0149,50,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 14.000
U-0150,28,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",Bus,Rp. 8.000
U-0151,47,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. MH Thamrin, Tanah Abang, Jakarta Pusat",KRL,Rp. 5.000
U-0152,45,Laki-laki,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Medan Merdeka Barat, Gambir, Jakarta Pusat",Bus,Rp. 5.000
U-0153,64,Laki-laki,"Jl. Raya Kalimalang, Duren Sawit, Jakarta Timur","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",MRT,Rp. 10.000
U-0154,53,Laki-laki,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Gatot Subroto, Setiabudi, Jakarta Selatan",Bus,Rp. 12.000
U-0155,24,Perempuan,"Jl. Sisingamangaraja, Kebayoran Baru, Jakarta Selatan","Jl. Mangga Besar, Sawah Besar, Jakarta Pusat",KRL,Rp. 10.000
U-0156,18,Perempuan,"Jl. Kramat Raya, Senen, Jakarta Pusat","Jl. Cempaka Putih, Cempaka Putih, Jakarta Pusat",MRT,Rp. 12.000
